"Glottocode","meB","meZ","mFBD","mFBeD","mFBeS","mFBS","mFByD","mFByS","mFeBD","mFeBS","mFeZD","mFeZS","mFyBD","mFyBS","mFyZD","mFyZS","mFZD","mFZeD","mFZeS","mFZS","mFZyD","mFZyS","mMBD","mMBeD","mMBeS","mMBS","mMByD","mMByS","mMeBD","mMeBS","mMeZD","mMeZS","mMyBD","mMyBS","mMyZD","mMyZS","mMZD","mMZeD","mMZeS","mMZS","mMZyD","mMZyS","myB","myZ","weB","weZ","wFBD","wFBeD","wFBeS","wFBS","wFByD","wFByS","wFeBD","wFeBS","wFeZD","wFeZS","wFyBD","wFyBS","wFyZD","wFyZS","wFZD","wFZeD","wFZeS","wFZS","wFZyD","wFZyS","wMBD","wMBeD","wMBeS","wMBS","wMByD","wMByS","wMeBD","wMeBS","wMeZD","wMeZS","wMyBD","wMyBS","wMyZD","wMyZS","wMZD","wMZeD","wMZeS","wMZS","wMZyD","wMZyS","wyB","wyZ"
homs1234,yeɣpayr,kuyr,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,pokr yeɣpayr,b[ə]zdig kuyr,yeɣpayr,kuyr,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,zarmig,pokr yeɣpayr,b[ə]zdig kuyr
hung1274,fivér,nővér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,öcz,húg,fivér,nővér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,unokatestvér,öcz,húg
hunz1247,ɨs,ɨs,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,ieru ɨs,yieru ɨs,ɨs,ɨs,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,ieru ɨs,yieru ɨs
icel1247,bróðir,systir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,bróðir,systir,bróðir,systir,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,systkinabörn,bróðir,systir
igna1246,-parape,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,natimuri,ati,-parape,-parape,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,-čehi,natimuri,ati
ingr1248,velloi,siar,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,velloi,siar,velloi,siar,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,velloi,siar
ingu1240,woša,yiša,dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),zʕamaɣwola woša,zʕamaɣyola yiša,woša,yiša,dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),dä-wešiy woʕ (yoʕ),zʕamaɣwola woša,zʕamaɣyola yiša
inxo1238,xundu is,aqu is,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,micʼikʼi xundu is,micʼikʼi aqu is,xundu is,aqu is,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,wacahaw,micʼikʼi xundu is,micʼikʼi aqu is
iris1253,dearbrāthair,deirbhshiur,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,dearbrāthair,deirbhshiur,dearbrāthair,deirbhshiur,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,col ceathar,dearbrāthair,deirbhshiur
ital1282,fratello,sorella,cugina,cugina,cugino,cugino,cugina,cugino,cugina,cugino,cugina,cugino,cugina,cugino,cugina,cugino,cugina,cugina,cugino,cugino,cugina,cugino,cugina,cugina,cugino,cugino,cugina,cugino,cugina,cugino,cugina,cugino,cugina,cugino,cugina,cugino,cugina,cugina,cugino,cugino,cugina,cugino,fratello,sorella,fratello,sorella,cugina,cugina,cugino,cugino,cugina,cugino,cugina,cugino,cugina,cugino,cugina,cugino,cugina,cugino,cugina,cugina,cugino,cugino,cugina,cugino,cugina,cugina,cugino,cugino,cugina,cugino,cugina,cugino,cugina,cugino,cugina,cugino,cugina,cugino,cugina,cugina,cugino,cugino,cugina,cugino,fratello,sorella
iton1250,ahmi-ʔyasa,ahmi-yasaʔka,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,ahmi-ʔyasa,ahmi-yasaʔka,ahmi-ʔyasa,ahmi-yasaʔka,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,pataʔweʔname,ahmi-ʔyasa,ahmi-yasaʔka
itsa1239,uc̄i,ruc̄i,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,nuqʼe uc̄i,nuqʼe ruc̄i,uc̄i,ruc̄i,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,kʼʷini uc̄iqʼar,nuqʼe uc̄i,nuqʼe ruc̄i
jama1262,brada  ~ brɛda,sɩsta,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,lɩkl brɛda ~ lɩkl brada,lɩkl sɩsta,brada  ~ brɛda,sɩsta,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,kɔzɩn,lɩkl brɛda ~ lɩkl brada,lɩkl sɩsta
jica1244,сínà'áˑ',сílá',сílá',сílá',sìkìsé',sìkìsé',сílá',sìkìsé',сílá',sìkìsé',сílá',sìkìsé',сílá',sìkìsé',сílá',sìkìsé',сílá',сílá',sìkìsé',sìkìsé',сílá',sìkìsé',сílá',сílá',sìkìsé',sìkìsé',сílá',sìkìsé',сílá',sìkìsé',сílá',sìkìsé',сílá',sìkìsé',сílá',sìkìsé',сílá',сílá',sìkìsé',sìkìsé',сílá',sìkìsé',sìkìsé',сílá',sìkìsé',сílá',сílá',сílá',sìkìsé',sìkìsé',сílá',sìkìsé',сílá',sìkìsé',сílá',sìkìsé',сílá',sìkìsé',сílá',sìkìsé',сílá',сílá',sìkìsé',sìkìsé',сílá',sìkìsé',сílá',сílá',sìkìsé',sìkìsé',сílá',sìkìsé',сílá',sìkìsé',сílá',sìkìsé',сílá',sìkìsé',сílá',sìkìsé',сílá',сílá',sìkìsé',sìkìsé',сílá',sìkìsé',sìkìsé',сílá'
jude1256,biror,xeher,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,čüklei biror,čüklei xеher,biror,xeher,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,kuxole,čüklei biror,čüklei xеher
kamb1297,mukuwa,mukuwa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwinawa,mwinawa,mukuwa,mukuwa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwinawa,mwinawa
kapi1249,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina,tuahina
kash1277,bōi,beni,piter-beni,piter-beni,pitur-boi,pitur-boi,piter-beni,pitur-boi,piter-beni,pitur-boi,pofter-beni,poftur-boi,piter-beni,pitur-boi,pofter-beni,poftur-boi,pofter-beni,pofter-beni,poftur-boi,poftur-boi,pofter-beni,poftur-boi,mamter-beni,mamter-beni,mamtur-boi,mamtur-boi,mamter-beni,mamtur-boi,mamter-beni,mamtur-boi,master-beni,mastur-boi,mamter-beni,mamtur-boi,master-beni,mastur-boi,master-beni,master-beni,mastur-boi,mastur-boi,master-beni,mastur-boi,bōi,beni,bōi,beni,piter-beni,piter-beni,pitur-boi,pitur-boi,piter-beni,pitur-boi,piter-beni,pitur-boi,pofter-beni,poftur-boi,piter-beni,pitur-boi,pofter-beni,poftur-boi,pofter-beni,pofter-beni,poftur-boi,poftur-boi,pofter-beni,poftur-boi,mamter-beni,mamter-beni,mamtur-boi,mamtur-boi,mamter-beni,mamtur-boi,mamter-beni,mamtur-boi,master-beni,mastur-boi,mamter-beni,mamtur-boi,master-beni,mastur-boi,master-beni,master-beni,mastur-boi,mastur-boi,master-beni,mastur-boi,bōi,beni
kaya1329,rekiʔɨt,rewɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,rewiret,rewɨt,kɨwɨt,rɨkiet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,kɨwɨt,kɨpɨʔɨt
kett1243,bisep,bisep,amdus,amdus,amdun,amdun,amdus,amdun,amdus,amdun,amdus,amdun,amdus,amdun,amdus,amdun,amdus,amdus,amdun,amdun,amdus,amdun,amdus,amdus,amdun,amdun,amdus,amdun,amdus,amdun,amdus,amdun,amdus,amdun,amdus,amdun,amdus,amdus,amdun,amdun,amdus,amdun,bistɨl,bistɨl,bisep,bisep,amdus,amdus,amdun,amdun,amdus,amdun,amdus,amdun,amdus,amdun,amdus,amdun,amdus,amdun,amdus,amdus,amdun,amdun,amdus,amdun,amdus,amdus,amdun,amdun,amdus,amdun,amdus,amdun,amdus,amdun,amdus,amdun,amdus,amdun,amdus,amdus,amdun,amdun,amdus,amdun,bistɨl,bistɨl
khan1273,yiwpux,yiwewi,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,apal,apalne,yiwpux,yiwewi,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,aspux,apal,apalne
