feB,feZ,fFBeD,fFBeS,fFByD,fFByS,fFZeD,fFZeS,fFZyD,fFZyS,fMBeD,fMBeS,fMByD,fMByS,fMZeD,fMZeS,fMZyD,fMZyS,fyB,fyZ,meB,meZ,mFBeD,mFBeS,mFByD,mFByS,mFZeD,mFZeS,mFZyD,mFZyS,mMBeD,mMBeS,mMByD,mMByS,mMZeD,mMZeS,mMZyD,mMZyS,myB,myZ,Glottocode
kaka'tuama,kaka'wēwēnē,oki'-nē-mahtuari,oki'-nē-mahtuari,oki'-nē-mahtuari,oki'-nē-mahtuari,oki'-nē-mahtuari,oki'-nē-mahtuari,oki'-nē-mahtuari,oki'-nē-mahtuari,oki'-nē-mahtuari,oki'-nē-mahtuari,oki'-nē-mahtuari,oki'-nē-mahtuari,oki'-nē-mahtuari,oki'-nē-mahtuari,oki'-nē-mahtuari,oki'-nē-mahtuari,tuarituama,tuariwēwēnē,kaka'tuama,kaka'wēwēnē,oki'-nē-mahtuari,oki'-nē-mahtuari,oki'-nē-mahtuari,oki'-nē-mahtuari,oki'-nē-mahtuari,oki'-nē-mahtuari,oki'-nē-mahtuari,oki'-nē-mahtuari,oki'-nē-mahtuari,oki'-nē-mahtuari,oki'-nē-mahtuari,oki'-nē-mahtuari,oki'-nē-mahtuari,oki'-nē-mahtuari,oki'-nē-mahtuari,oki'-nē-mahtuari,tuarituama,tuariwēwēnē,tomb1243
sia'a,sia'a,soungaungasepisa,soungaungasepisa,soungaungasepisa,soungaungasepisa,soungaungasepisa,soungaungasepisa,soungaungasepisa,soungaungasepisa,soungaungasepisa,soungaungasepisa,soungaungasepisa,soungaungasepisa,soungaungasepisa,soungaungasepisa,soungaungasepisa,soungaungasepisa,tuai-nyo,tuai-nyo,sia'a,sia'a,soungaungasepisa,soungaungasepisa,soungaungasepisa,soungaungasepisa,soungaungasepisa,soungaungasepisa,soungaungasepisa,soungaungasepisa,soungaungasepisa,soungaungasepisa,soungaungasepisa,soungaungasepisa,soungaungasepisa,soungaungasepisa,soungaungasepisa,soungaungasepisa,tuai-nyo,tuai-nyo,tomi1243
kaka'tuama,kakakwewene,kasudu,kasudu,kasudu,kasudu,kasudu,kasudu,kasudu,kasudu,kasudu,kasudu,kasudu,kasudu,kasudu,kasudu,kasudu,kasudu,tuarituama,tuariwewene,kaka'tuama,kakakwewene,kasudu,kasudu,kasudu,kasudu,kasudu,kasudu,kasudu,kasudu,kasudu,kasudu,kasudu,kasudu,kasudu,kasudu,kasudu,kasudu,tuarituama,tuariwewene,tons1240
munyanya,mugenzi,mwenekati,mwene,mwenekati,mwene,mwenekati,mwene,mwenekati,mwene,nyinento,nyinarumi,nyinento,nyinarumi,nyinento,nyinarumi,nyinento,nyinarumi,munyanya,mugenzi,mugenzi,munyanya,mwenekati,mwene,mwenekati,mwene,mwenekati,mwene,mwenekati,mwene,nyinento,nyinarumi,nyinento,nyinarumi,nyinento,nyinarumi,nyinento,nyinarumi,mugenzi,munyanya,toor1238
brada,sisi,kazensista,kazenbrada,kazensista,kazenbrada,kazensista,kazenbrada,kazensista,kazenbrada,kazensista,kazenbrada,kazensista,kazenbrada,kazensista,kazenbrada,kazensista,kazenbrada,brada,sisi,brada,sisi,kazensista,kazenbrada,kazensista,kazenbrada,kazensista,kazenbrada,kazensista,kazenbrada,kazensista,kazenbrada,kazensista,kazenbrada,kazensista,kazenbrada,kazensista,kazenbrada,brada,sisi,torr1261
və'la,motər,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,və'la,lʸoče,və'la,motər,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,və'la,lʸoče,tosk1239
tukka,tukka,montoliusatkomiinjan,montoliusatkomiinjan,montoliusatkomiinjan,montoliusatkomiinjan,montoliusatkomiinjan,montoliusatkomiinjan,montoliusatkomiinjan,montoliusatkomiinjan,montoliusatkomiinjan,montoliusatkomiinjan,montoliusatkomiinjan,montoliusatkomiinjan,montoliusatkomiinjan,montoliusatkomiinjan,montoliusatkomiinjan,montoliusatkomiinjan,tuali,tuali,tukka,tukka,montoliusatkomiinjan,montoliusatkomiinjan,montoliusatkomiinjan,montoliusatkomiinjan,montoliusatkomiinjan,montoliusatkomiinjan,montoliusatkomiinjan,montoliusatkomiinjan,montoliusatkomiinjan,montoliusatkomiinjan,montoliusatkomiinjan,montoliusatkomiinjan,montoliusatkomiinjan,montoliusatkomiinjan,montoliusatkomiinjan,montoliusatkomiinjan,tuali,tuali,toto1304
tu-'ane,tua-'ana,tua-'ana,tu-'ane,teina,tu-'ane,tua-'ana,tu-'ane,teina,tu-'ane,tua-'ana,tu-'ane,teina,tu-'ane,tua-'ana,tu-'ane,teina,tu-'ane,tu-'ane,teina,tua-'ana,tua-hine,tua-hine,tua-'ana,tua-hine,teina,tua-hine,tua-'ana,tua-hine,teina,tua-hine,tua-'ana,tua-hine,teina,tua-hine,tua-'ana,tua-hine,teina,teina,tua-hine,tuam1242
tuane'a,tua-ana,tua-ana,tuane'a,teina,tuane'a,tua-ana,tuane'a,teina,tuane'a,tua-ana,tuane'a,teina,tuane'a,tua-ana,tuane'a,teina,tuane'a,tuane'a,teina,tua-ana,tua-hine,tua-hine,tua-ana,tua-hine,teina,tua-hine,tua-ana,tua-hine,teina,tua-hine,tua-ana,tua-hine,teina,tua-hine,tua-ana,tua-hine,teina,teina,tua-hine,tubu1240
kybyra,tykêra,tykêra,kybyra,tykêra,kybyra,tykêra,kybyra,tykêra,kybyra,tykêra,kybyra,tykêra,kybyra,tykêra,kybyra,tykêra,kybyra,kybykyra,kypýy,tykyyra,tendyra,tendyra,tykyyra,tendyra,tykyyra,tendyra,tykyra,tendyra,tykyra,tendyra,tykyyra,tendyra,tykyyra,tendyra,tykyyra,tendyra,tykyyra,tybykyra,tendyra,tupi1274
aphu,api,api,aphu,api,aphu,aming,arat,ana,arat,aning,caa,ana,caa,api,aphu,api,aphu,anau,anaujan,aphu,api,api,aphu,api,aphu,akhri,akhau,akhri,akhau,arat,akhau,arat,akhau,api,aphu,api,aphu,anau,anaujan,turu1249
ahk-räʼ-je,ahkʼ-je,ahkʼ-je,ahk-räʼ-je,käʼ-gä,käʼ-gä,ahk-gä-räʼ-sthar,ahk-gä-räʼ-sthar,ahk-gä-räʼ-sthar,ahk-gä-räʼ-sthar,ahk-gä-räʼ-sthar,ahk-gä-räʼ-sthar,ahk-gä-räʼ-sthar,ahk-gä-räʼ-sthar,ahkʼ-je,ahk-räʼ-je,käʼ-gä,käʼ-gä,käʼ-gä,käʼ-gä,ahk-räʼ-je,ahkʼ-je,ahkʼ-je,ahk-räʼ-je,käʼ-gä,käʼ-gä,ahk-gä-räʼ-sthar,ahk-gä-räʼ-sthar,ahk-gä-räʼ-sthar,ahk-gä-räʼ-sthar,ahk-gä-räʼ-sthar,ahk-gä-räʼ-sthar,ahk-gä-räʼ-sthar,ahk-gä-räʼ-sthar,ahkʼ-je,ahk-räʼ-je,käʼ-gä,käʼ-gä,käʼ-gä,käʼ-gä,tusc1257
tuagane,taina,fakataina,fakatuagane,fakataina,fakatuagane,fakataina,fakatuagane,fakataina,fakatuagane,fakataina,fakatuagane,fakataina,fakatuagane,fakataina,fakatuagane,fakataina,fakatuagane,tuagane,taina,taina,tuagane,fakatuagane,fakataina,fakatuagane,fakataina,fakatuagane,fakataina,fakatuagane,fakataina,fakatuagane,fakataina,fakatuagane,fakataina,fakatuagane,fakataina,fakatuagane,fakataina,taina,tuagane,tuva1244
apay-agay,apay-agay,apay,agay,apay,vɩn,apay,agay,apay,vɩn,čužodig,čužodig,čužodig,čužodig,čužodig,čužodig,čužodig,čužodig,suzer̃-vɩn,suzer̃-vɩn,apay-agay,apay-agay,apay,agay,apay,vɩn,apay,agay,apay,vɩn,čužodig,čužodig,čužodig,čužodig,čužodig,čužodig,čužodig,čužodig,suzer̃-vɩn,suzer̃-vɩn,udmu1245
hari?+naki?aya?,hari?+nduhaya?,hari?+nhigət,hari?+nhigət,hari?+nhigət,hari?+nhigət,hari?+nhigət,hari?+nhigət,hari?+nhigət,hari?+nhigət,hari?+nhigət,hari?+nhigət,hari?+nhigət,hari?+nhigət,hari?+nhigət,hari?+nhigət,hari?+nhigət,hari?+nhigət,hari?+naki?uk,hari?+nduh?uk,hari?+naki?aya?,hari?+nduhaya?,hari?+nhigət,hari?+nhigət,hari?+nhigət,hari?+nhigət,hari?+nhigət,hari?+nhigət,hari?+nhigət,hari?+nhigət,hari?+nhigət,hari?+nhigət,hari?+nhigət,hari?+nhigət,hari?+nhigət,hari?+nhigət,hari?+nhigət,hari?+nhigət,hari?+naki?uk,hari?+nduh?uk,umaj1240
kaka,ati,ati,pinsan,pinsan,pinsan,ati,pinsan,pinsan,pinsan,ati,pinsan,pinsan,pinsan,ati,pinsan,pinsan,pinsan,weli,weli,kaka,ati,ati,pinsan,pinsan,pinsan,ati,pinsan,pinsan,pinsan,ati,pinsan,pinsan,pinsan,ati,pinsan,pinsan,pinsan,weli,weli,umir1236
ne-sǐʼ-ya,ne-misʼ-sa,ne-de-geʼ-ko,nin-dä-waʼ-mä,ne-de-geʼ-ko,nin-dä-waʼ-mä,ne-douʼ-go-sha,ne-ne-moʼ-sha,ne-douʼ-go-sha,ne-ne-moʼ-sha,nin-donʼ-go-sha,ne-ne-moʼ-sha,nin-donʼ-go-sha,ne-ne-moʼ-sha,ne-de-geʼ-ko,nin-dä-waʼ-mä,ne-de-geʼ-ko,nin-dä-waʼ-mä,ne-sheʼ-ma,ne-sheʼ-ma,ne-sǐ-ya,ne-misʼ-sa,nin-dä-waʼ-mä,nin-dä-waʼ-mä,nin-dä-waʼ-mä,ne-käʼ-na,ne-ne-moʼ-sha,ne-täʼ-wis,ne-ne-moʼ-sha,ne-täʼ-wis,ne-ne-moʼ-sha,ne-täʼ-wis,ne-ne-moʼ-sha,ne-täʼ-wis,nin-dä-waʼ-mä,ne-käʼ-na,nin-dä-waʼ-mä,ne-käʼ-na,ne-sheʼ-ma,ne-sheʼ-ma,uppe1274
barabhai,āpā,chacēribahen,chacērābhā'i,chacēribahen,chacērābhā'i,phuphēribahen,phuphērābhā'i,phuphēribahen,phuphērābhā'i,māmūzādbahin,mamerābhāi,māmūzādbahin,mamerābhāi,xālāzādbahin,xālāzādbhāi,xālāzādbahin,xālāzādbhāi,chotabhai,bahen,barabhai,āpā,chacēribahen,chacērābhā'i,chacēribahen,chacērābhā'i,phuphēribahen,phuphērābhā'i,phuphēribahen,phuphērābhā'i,māmūzādbahin,mamerābhāi,māmūzādbahin,mamerābhāi,xālāzādbahin,xālāzādbhāi,xālāzādbahin,xālāzādbhāi,chotabhai,bahen,urdu1245
vavanina,togana,togana,vavanina,kaena,vavanina,togana,vavanina,kaena,vavanina,togana,vavanina,kaena,vavanina,togana,vavanina,kaena,vavanina,vavanina,kaena,togana,vavanina,vavanina,togana,vavanina,kaena,vavanina,togana,vavanina,kaena,vavanina,togana,vavanina,kaena,vavanina,togana,vavanina,kaena,kaena,vavanina,vari1239
ve|l'l',čižoi,sestrii,bratan,sestrii,bratan,sestrii,bratan,sestrii,bratan,sestrii,bratan,sestrii,bratan,sestrii,bratan,sestrii,bratan,ve|l'l',čižoi,ve|l'l',čižoi,sestrii,bratan,sestrii,bratan,sestrii,bratan,sestrii,bratan,sestrii,bratan,sestrii,bratan,sestrii,bratan,sestrii,bratan,ve|l'l',čižoi,veps1250
owo-,uwa-,uwa-,owo-,isi-,owo-,tētē,tētē,tētē,tētē,tētē,tētē,tētē,tētē,uwa-,owo-,isi-,owo-,owo-,isi-,uwa-,owo-,owo-,uwa-,owo-,isi-,tētē,tētē,tētē,tētē,tētē,tētē,tētē,tētē,owo-,uwa-,owo-,isi-,isi-,owo-,vera1241
tutuëk,togëk,togëk,tutuëk,tësik,tutuëk,rëtnëk,tëmëk,rëtnëk,tëmëk,nötuk,nötuk,nötuk,nötuk,togëk,tutuëk,tësik,tutuëk,tutuëk,tësik,togëk,tutuëk,tutuëk,togëk,tutuëk,tësik,rëtnëk,tëmëk,rëtnëk,tëmëk,nötuk,nötuk,nötuk,nötuk,tutuëk,togëk,tutuëk,tësik,tësik,tutuëk,vure1239
oy-eφeka,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-eφeka,oy-akno,oy-akno,oy-eφeka,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-eφeka,waiw1244
frè,sour,kizeinn,kizein,kizeinn,kizein,kizeinn,kizein,kizeinn,kizein,kizeinn,kizein,kizeinn,kizein,kizeinn,kizein,kizeinn,kizein,frè,sour,frè,sour,kizeinn,kizein,kizeinn,kizein,kizeinn,kizein,kizeinn,kizein,kizeinn,kizein,kizeinn,kizein,kizeinn,kizein,kizeinn,kizein,frè,sour,wall1255
tautuagane,tao-kete,tao-kete,tautuagane,tauta'a,tautuagane,tao-kete,tautuagane,tauta'a,tautuagane,tao-kete,tautuagane,tauta'a,tautuagane,tao-kete,tautuagane,tauta'a,tautuagane,tautuagane,tauta'a,tao-kete,tauta'a,tauta'a,tao-kete,tauta'a,tehina,tauta'a,tao-kete,tauta'a,tehina,tauta'a,tao-kete,tauta'a,tehina,tauta'a,tao-kete,tauta'a,tehina,tehina,tauta'a,wall1257
baba,babanya,babanya,baba,babanya,baba,barnganya,barnga,barnganya,barnga,barnganya,barnga,barnganya,barnga,babanya,baba,babanya,baba,gagulu,gagulinya,baba,babanya,babanya,baba,babanya,baba,barnganya,barnga,barnganya,barnga,barnganya,barnga,barnganya,barnga,babanya,baba,babanya,baba,gagulu,gagulinya,wamb1258
kurta,jurtu,jamirti,jamirti,jamirti,jamirti,jamirti,jamirti,jamirti,jamirti,jamirti,jamirti,jamirti,jamirti,jamirti,jamirti,jamirti,jamirti,malaju,malaju,kurta,jurtu,jamirti,jamirti,jamirti,jamirti,jamirti,jamirti,jamirti,jamirti,jamirti,jamirti,jamirti,jamirti,jamirti,jamirti,jamirti,jamirti,malaju,malaju,wang1288
nhuthi,kaku,kaku,nhuthi,kupaka,kupaka,apirla,withiwa,apirla,withiwa,apirla,withiwa,apirla,withiwa,kaku,nhuthi,kupaka,kupaka,kupaka,kupaka,nhuthi,kaku,kaku,nhuthi,kupaka,kupaka,apirla,withiwa,apirla,withiwa,apirla,withiwa,apirla,withiwa,kaku,nhuthi,kupaka,kupaka,kupaka,kupaka,wang1290a
piŋi,naɹpoːe,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kalpamay,puurrii,piŋi,naɹpoːe,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kalpamay,puurrii,wang1291
-inawɨẓa,-ˀdaˀdakʰuu,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-ˀdawiʔičʰan,-ˀdawiʔičʰan,-inawɨẓa,-ˀdaˀdakʰuu,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-ˀdawiʔičʰan,-ˀdawiʔičʰan,wapi1253
murrkardi,kaku,kapi,kukurnu,kapi,kukurnu,cukana,wankili,cukana,wankili,cukana,wankili,cukana,wankili,murrkardi,murrkardi,murrkardi,murrkardi,tyitya,tyitya,murrkardi,kaku,kapi,kukurnu,kapi,kukurnu,cukana,wankili,cukana,wankili,cukana,wankili,cukana,wankili,murrkardi,murrkardi,murrkardi,murrkardi,tyitya,tyitya,warl1254
wartayi,kakayi,kakayi,wartayi,kuku-iyar,kuku,tawil-iyar,tawil-iyar,tawil-iyar,tawil-iyar,tawil,tawil,tawil,tawil,kakayi,wartayi,kuku-iyar,kuku,kuku,kuku-iyar,wartayi,kakayi,kakayi,wartayi,kuku-iyar,kuku,tawil-iyar,tawil-iyar,tawil-iyar,tawil-iyar,tawil,tawil,tawil,tawil,kakayi,wartayi,kuku-iyar,kuku,kuku,kuku-iyar,warr1257
jeniŋgmaro,lewiŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,jeniŋgmaro,laseŋg,lewiŋg,jeniŋgkefi,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,laseŋg,jeniŋgkefi,watu1246
-tu-ka'ka,-tu-kaka-lu,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-se-žɨ,-se-žu,-tu-ka'ka,-tu-kaka-lu,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-se-žɨ,-se-žu,waur1244
tukaka,tukaka,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,tußai,tußai,tukaka,tukaka,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,tußai,tußai,wawo1239
ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,te-mɨľia,ta-šunuu,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,te-mɨľia,ta-šunuu,wayu1243
brawd,chwaer,cyfnither,cefnder,cyfnither,cefnder,cyfnither,cefnder,cyfnither,cefnder,cyfnither,cefnder,cyfnither,cefnder,cyfnither,cefnder,cyfnither,cefnder,brawd,chwaer,brawd,chwaer,cyfnither,cefnder,cyfnither,cefnder,cyfnither,cefnder,cyfnither,cefnder,cyfnither,cefnder,cyfnither,cefnder,cyfnither,cefnder,cyfnither,cefnder,brawd,chwaer,wels1247
-nang,-nang,-nang,-nang,-kaku,-kaku,-nang,-nang,-kaku,-kaku,-nang,-nang,-kaku,-kaku,-nang,-nang,-kaku,-kaku,-kaku,-kaku,-nang,-nang,-nang,-nang,-kaku,-kaku,-nang,-nang,-kaku,-kaku,-nang,-nang,-kaku,-kaku,-nang,-nang,-kaku,-kaku,-kaku,-kaku,wers1238
nebanagusia,ahizpa,lehengusina,lehengusua,lehengusina,lehengusua,lehengusina,lehengusua,lehengusina,lehengusua,lehengusina,lehengusua,lehengusina,lehengusua,lehengusina,lehengusua,lehengusina,lehengusua,nebagatzea,ahizpa,anaia,arrebanagusia,lehengusina,lehengusua,lehengusina,lehengusua,lehengusina,lehengusua,lehengusina,lehengusua,lehengusina,lehengusua,lehengusina,lehengusua,lehengusina,lehengusua,lehengusina,lehengusua,anaia,arrebagaztea,west1508
berɑdær,xɑhær,doxtar-e-amu,pesar-e-amu,doxtar-e-amu,pesar-e-amu,doxtar-e-amme,pesar-e-amme,doxtar-e-amme,pesar-e-amme,doxtar-e-dãi,pesar-e-dãi,doxtar-e-dãi,pesar-e-dãi,doxtar-e-xãle,pesar-e-xãle,doxtar-e-xãle,pesar-e-xãle,dɑdær,apa,berɑdær,xɑhær,doxtar-e-amu,pesar-e-amu,doxtar-e-amu,pesar-e-amu,doxtar-e-amme,pesar-e-amme,doxtar-e-amme,pesar-e-amme,doxtar-e-dãi,pesar-e-dãi,doxtar-e-dãi,pesar-e-dãi,doxtar-e-xãle,pesar-e-xãle,doxtar-e-xãle,pesar-e-xãle,dɑdær,apa,west2369
bharāprā,bhaiṇa,masera,masera,masera,masera,masera,masera,masera,masera,masera,masera,masera,masera,masera,masera,masera,masera,nikkaprā,chuṭērībhaiṇa,bharāprā,bhaiṇa,masera,masera,masera,masera,masera,masera,masera,masera,masera,masera,masera,masera,masera,masera,masera,masera,nikkaprā,chuṭērībhaiṇa,west2386
kave,soa,soa,kave,soa,kave,maa,fakaumagaro,maa,fakaumagaro,maa,fakaumagaro,maa,fakaumagaro,soa,kave,soa,kave,kave,soa,soa,kave,kave,soa,kave,soa,fakaumagaro,safe,fakaumagaro,safe,fakaumagaro,safe,fakaumagaro,safe,kave,soa,kave,soa,soa,kave,west2515
me'emahan,suled,suled,me'emahan,suled,me'emahan,suled,me'emahan,suled,me'emahan,suled,me'emahan,suled,me'emahan,suled,me'emahan,suled,me'emahan,me'emahan,suled,suled,etevey,etevey,suled,etevey,suled,etevey,suled,etevey,suled,etevey,suled,etevey,suled,etevey,suled,etevey,suled,suled,etevey,west2555
duksayan,duksayan,lagbä,lagbä,lagbä,lagbä,lagbä,lagbä,lagbä,lagbä,lagbä,lagbä,lagbä,lagbä,lagbä,lagbä,lagbä,lagbä,duksayan,duksayan,duksayan,duksayan,lagbä,lagbä,lagbä,lagbä,lagbä,lagbä,lagbä,lagbä,lagbä,lagbä,lagbä,lagbä,lagbä,lagbä,lagbä,lagbä,duksayan,duksayan,west2559
ka',ka',kaki,kaki,kaki,kaki,kaki,kaki,kaki,kaki,kaki,kaki,kaki,kaki,kaki,kaki,kaki,kaki,di',di',ka',ka',kaki,kaki,kaki,kaki,kaki,kaki,kaki,kaki,kaki,kaki,kaki,kaki,kaki,kaki,kaki,kaki,di',di',west2560
cìkìsń,cílà',cìlà,cìkìsń,cìlà,cìkìsń,sìzéˑdé,cìkìsń,sìzéˑdé,cìkìsń,cìlà,cìkìsń,cìlà,cìkìsń,cìlà,cìkìsń,cìlà,cìkìsń,cìkìsń,cílà',cìkìsń,cílà',cìlà,cìkìsń,cìlà,cìkìsń,sìzéˑdé,cìkìsń,sìzéˑdé,cìkìsń,cìlà,cìkìsń,cìlà,cìkìsń,cìlà,cìkìsń,cìlà,cìkìsń,cìkìsń,cílà',west2615
kaka,p̄ia*,p̄ia*kalɨn,kaka,p̄ia*kalɨn,kaka,rəh*iel,rəh*iel,rəh*iel,rəh*iel,rəh*iel,rəh*iel,rəh*iel,rəh*iel,p̄ia*kalɨn,kaka,p̄ia*kalɨn,kaka,kaka,p̄ia*,p̄ia*,kaka,kaka,p̄ia*kalɨn,kaka,p̄ia*kalɨn,rəh*iel,rəh*iel,rəh*iel,rəh*iel,rəh*iel,rəh*iel,rəh*iel,rəh*iel,kaka,p̄ia*kalɨn,kaka,p̄ia*kalɨn,p̄ia*,kaka,whit1269
e-cheʼ-to,e-nooʼ,e-nooʼ,e-cheʼ-to,e-chunkʼ,e-sǔnkʼ,e-nookʼ,e-nekeʼ,e-nookʼ,e-nekeʼ,nä-neʼ-kä,e-takeʼ,nä-neʼ-kä,e-takeʼ,e-nooʼ,e-cheʼ-to,e-chunkʼ,e-sǔnkʼ,e-sǔnkʼ,e-chunkʼ,e-neʼ,e-nooʼ,e-nooʼ,e-cheʼ-to,wychʼ-kä,e-sǔnkʼ,e-choon̤-zhunkʼ,e-choonshʼ-ka,e-choon̤-zhunkʼ,e-choonshʼ-ka,nä-neʼ-kä,e-takeʼ,nä-neʼ-kä,e-takeʼ,e-nooʼ,e-neʼ,wychʼ-kä,e-sǔnkʼ,e-sǔnkʼ,wychʼ-kä,winn1245
kaaka,katyi,wunaɹikayin,wunaɹikayin,wunaɹikayin,wunaɹikayin,wunaɹikayin,wunaɹikayin,wunaɹikayin,wunaɹikayin,wunaɹikayin,wunaɹikayin,wunaɹikayin,wunaɹikayin,wunaɹikayin,wunaɹikayin,wunaɹikayin,wunaɹikayin,kaakang,muukan,kaaka,katyi,wunaɹikayin,wunaɹikayin,wunaɹikayin,wunaɹikayin,wunaɹikayin,wunaɹikayin,wunaɹikayin,wunaɹikayin,wunaɹikayin,wunaɹikayin,wunaɹikayin,wunaɹikayin,wunaɹikayin,wunaɹikayin,wunaɹikayin,wunaɹikayin,kaakang,muukan,wira1262
lu,toka,toka,lu,tei,lu,maun,maun,maun,maun,maun,maun,maun,maun,toka,lu,tei,lu,lu,tei,toka,lu,lu,toka,lu,tei,maun,maun,maun,maun,maun,maun,maun,maun,lu,toka,lu,tei,tei,lu,woge1237
neese-taseʼ,ne-mishʼ,ne-mishʼ,neese-taseʼ,ne-sha-mishʼ,ne-sha-mishʼ,n'-jäʼ-koase,neeʼ-she-moos,n'-däʼ-koase,neeʼ-che-moosh,n'-jäʼ-koase,neeʼ-che-moosh,n'-jäʼ-koase,neeʼ-che-moosh,ne-mishʼ,neese-taseʼ,ne-she-mishʼ,ne-sha-mishʼ,ne-sha-mishʼ,ne-sha-mishʼ,neese-taseʼ,ne-mishʼ,ne-mishʼ,neese-taseʼ,ne-she-mishʼ,ne-sha-mishʼ,neeʼ-che-moosh,nee-säsʼ,neeʼ-che-moosh,neeʼ-säsʼ,neeʼ-che-moosh,nee-säsʼ,neeʼ-che-moosh,nee-säsʼ,ne-mishʼ,neese-taseʼ,ne-she-mishʼ,ne-sha-mishʼ,ne-sha-mishʼ,ne-sha-mishʼ,wood1236
katha,apari,kuri,kuri,kuri,kuri,kuri,kuri,kuri,kuri,kuri,kuri,kuri,kuri,kuri,kuri,kuri,kuri,ruti,apari,katha,apari,kuri,kuri,kuri,kuri,kuri,kuri,kuri,kuri,kuri,kuri,kuri,kuri,kuri,kuri,kuri,kuri,ruti,apari,wulg1239
ʔari,tafi,tafi,ʔari,tafi,ʔari,tafi,ʔari,tafi,ʔari,tafi,ʔari,tafi,ʔari,tafi,ʔari,tafi,ʔari,ʔari,tafi,lofu,ʔari,ʔari,lofu,ʔari,lofu,ʔari,lofu,ʔari,lofu,ʔari,lofu,ʔari,lofu,ʔari,lofu,ʔari,lofu,lofu,ʔari,wuvu1239
